Timestamp,Tempo_Inferenza_ms,Tentativi_Builder,Esito,Fame,Energia
2026-06-17 17:36:20,92657.61,1,Successo,0.70,0.30
2026-06-17 17:38:54,147673.74,3,Fallito,1.00,0.46
2026-06-17 17:44:57,76913.06,1,Successo,0.70,0.30
2026-06-17 17:46:20,80242.55,1,Successo,1.00,0.45
2026-06-17 17:47:26,64795.37,1,Successo,1.00,1.00
2026-06-17 18:30:30,94118.04,2,Successo,0.70,0.30
2026-06-17 18:33:33,177173.79,3,Successo,1.00,0.49
2026-06-17 18:35:24,110584.90,3,Fallito,1.00,1.00
2026-06-17 18:37:55,151061.87,3,Fallito,0.70,0.30
2026-06-17 18:40:08,132487.80,3,Fallito,1.00,0.69
2026-06-17 18:43:25,117093.25,1,Successo,0.70,0.30
2026-06-17 18:45:33,124638.09,1,Successo,1.00,0.53
2026-06-17 18:46:35,60781.59,1,Successo,1.00,0.78
2026-06-17 18:49:02,57282.18,1,Successo,0.70,0.30
2026-06-17 18:49:49,44378.24,1,Successo,0.98,0.41
